ctry,year,nace2,nace4,share4,rev4
CZ,2018,29,2920,0.00213608416551173,4.0520000000000006e8
CZ,2018,29,2931,0.008434685747331609,1.6000000000000002e9
CZ,2018,29,2932,0.13177667693413936,2.4997100000000004e10
CZ,2018,30,3011,9.330871107985592e-5,1.77e7
CZ,2018,30,3012,3.532024656695111e-5,6.7e6
CZ,2018,30,3020,0.006194749513555858,1.1751e9
CZ,2018,30,3030,0.004653310693231006,8.827e8
CZ,2018,30,3040,0.0007512141993717214,1.4250000000000003e8
CZ,2018,30,3091,0.0002448030508313084,4.64374006410383e7
CZ,2018,30,3092,0.0014678850408691771,2.7844737026909274e8
CZ,2018,30,3099,0.00031901683768801513,6.051522908986889e7
CZ,2018,31,3101,0.0025774758708185844,4.889288726156027e8
CZ,2018,31,3102,0.0006616347346854825,1.2550741156321977e8
CZ,2018,31,3103,0.0004027800297208834,7.640451189984056e7
CZ,2018,31,3109,0.00528516989260714,1.002559203921337e9
CZ,2018,32,3211,0.0004982729153221206,9.45188342989075e7
CZ,2018,32,3212,0.0004570858318132402,8.670593698556578e7
CZ,2018,32,3213,8.843361409692668e-5,1.6775228715526903e7
CZ,2018,32,3220,0.0002862521475500665,5.430000000000001e7
CZ,2018,32,3230,0.0010701507541926978,2.03e8
CZ,2018,32,3240,0.004483562642565958,8.505e8
CZ,2018,32,3250,0.005019692355380723,9.522e8
CZ,2018,32,3291,0.0008608651140870323,1.633e8
CZ,2018,32,3299,0.0020954922403526965,3.975e8
CZ,2018,33,3311,0.000986838261614517,1.8719621167661643e8
CZ,2018,33,3312,0.010291689840544987,1.9522604917535162e9
CZ,2018,33,3313,0.0015798901015270873,2.996939350399676e8
CZ,2018,33,3314,0.0018571747840106536,3.5229287058585453e8
CZ,2018,33,3315,1.8450501686168853e-5,3.4999291713042594e6
CZ,2018,33,3316,0.000880352509025771,1.6699662045937467e8
CZ,2018,33,3317,0.0011381323754411016,2.1589563088131136e8
CZ,2018,33,3319,0.00016025578607415235,3.0399384802185573e7
CZ,2018,33,3320,0.009136688434990816,1.7331649256298695e9
DE,2018,10,1011,0.0067163195914145485,1.5813600000000002e10
DE,2018,10,1012,0.0023286435129134214,5.4828e9
DE,2018,10,1013,0.01206861505171493,2.84156e10
DE,2018,10,1020,0.0011548080746355135,2.719e9
DE,2018,10,1031,0.0010349526724059653,2.4368000000000005e9
DE,2018,10,1032,0.0014227201502074452,3.3498000000000005e9
DE,2018,10,1039,0.002198467464779628,5.1763e9
DE,2018,10,1041,0.0019920181850033992,4.690214386259606e9
DE,2018,10,1042,0.00018924820326914204,4.4558561374036735e8
